hotel_id,amenity
10,Free WiFi
10,Swimming Pool
10,Spa & Wellness Center
10,Fitness Center
10,Restaurant
10,Bar
10,24-Hour Room Service
10,Concierge Service
10,Business Center
10,Airport Shuttle
10,Valet Parking
10,Air Conditioning
11,Free WiFi
11,Beachfront
11,Infinity Pool
11,Ocean View
11,Spa
11,Restaurant
11,Bar
11,Water Sports
11,Beach Access
11,Air Conditioning
11,Room Service
12,Free WiFi
12,Tea Plantation Tours
12,Mountain View
12,Restaurant
12,Fireplace
12,Garden
12,Hiking Trails
12,Library
12,Complimentary Breakfast
12,Room Heater
13,Free WiFi
13,Rooftop Pool
13,Ocean View
13,Multiple Restaurants
13,Bar & Lounge
13,Spa
13,Fitness Center
13,Business Center
13,Conference Rooms
13,Valet Parking
13,24-Hour Room Service
14,Eco-Friendly
14,Nature Trails
14,Organic Restaurant
14,Bird Watching
14,Safari Arrangements
14,Bicycles
14,Outdoor Pool
14,Yoga Sessions
14,Campfire
14,Free WiFi
14,Air Conditioning
